형태소,POS,절대빈도,상대빈도
.,SF,2621,0.03011570589789845
고,EC,2165,0.02487619354023279
이,JKS,1942,0.022313888154795417
하,VV,1569,0.01802805896749434
도,JX,1373,0.015775987866392435
에,JKB,1366,0.015695556755638794
었,EP,1354,0.015557674851489699
는,ETM,1328,0.015258930725833324
이,VCP,1320,0.015167009456400593
가,JKS,1290,0.014822304696027851
거,NNB,1285,0.014764853902632396
는,JX,1269,0.014581011363766933
어,EC,1171,0.01345497581321598
을,JKO,1030,0.0118348634394641
들,XSN,948,0.010892670427778608
하,XSV,901,0.010352632969861313
나,NP,853,0.009801105353264929
그,MM,847,0.009732164401190381
뭐,IC,825,0.00947938091025037
어,EF,814,0.009352989164780365
ᆫ,ETM,811,0.009318518688743092
어서,EC,787,0.0090427548804449
게,EC,767,0.008812951706863071
은,JX,752,0.008640599326676702
를,JKO,739,0.008491227263848513
ᆯ,ETM,692,0.00795118980593122
것,NNB,635,0.007296250761223012
있,VA,633,0.0072732704438648295
되,VV,628,0.007215819650469373
면,EC,623,0.007158368857073916
는데,EC,571,0.006560880605761166
그런,MM,566,0.006503429812365708
같,VA,565,0.006491939653686617
어,IC,542,0.006227666004067516
은,ETM,541,0.006216175845388425
좀,MAG,538,0.00618170536935115
가,VV,516,0.005928921878411141
우리,NP,459,0.005273982833702933
니까,EC,459,0.005273982833702933
그렇,VA-I,452,0.0051935517229492936
생각,NNG,445,0.005113120612195654
때,NNG,440,0.005055669818800197
근데,MAJ,428,0.004917787914651101
또,MAG,416,0.004779906010502005
보,VV,415,0.004768415851822914
기,ETN,412,0.004733945375785639
하,XSA,411,0.004722455217106548
그,IC,410,0.004710965058427457
보,VX,408,0.004687984741069275
좋,VA,401,0.004607553630315634
그래서,MAJ,388,0.004458181567487447
지,EC,369,0.004239868552584711
안,MAG,360,0.004136457124472889
ᆫ,JX,351,0.004033045696361067
사람,NNG,344,0.003952614585607427
하,VX,326,0.0037457917293837826
많이,MAG,324,0.0037228114120256
의,JKG,314,0.0036079098252346864
지,EF,312,0.0035849295078765036
에서,JKB,311,0.0035734393491974126
?,SF,300,0.0034470476037274074
이제,MAG,299,0.003435557445048316
않,VX,295,0.0033895968103319508
인제,MAG,293,0.003366616492973768
겠,EP,286,0.0032861853822201284
없,VA,285,0.003274695223541037
수,NNB,280,0.0032172444301455804
다,EC,274,0.0031483034780710323
을,ETM,273,0.003136813319391941
있,VX,264,0.0030334018912801185
어야,EC,258,0.0029644609392055704
있,VV,258,0.0029644609392055704
집,NNG,256,0.0029414806218473876
더라고,EF,255,0.002929990463168296
이렇,VA-I,250,0.0028725396697728395
잖아,EF,248,0.0028495593524146567
으로,JKB,246,0.0028265790350564743
그러,VV,244,0.0028035987176982914
막,MAG,219,0.0025163447507210073
이런,MM,219,0.0025163447507210073
그냥,MAG,217,0.002493364433362825
애,NNG,215,0.002470384116004642
다,MAG,213,0.002447403798646459
아,IC,211,0.002424423481288277
아니,VCN,209,0.002401443163930094
야,EF,207,0.002378462846571911
잘,MAG,205,0.0023554825292137283
그러니까,MAJ,200,0.0022980317358182716
너무,MAG,194,0.0022290907837437235
지금,MAG,194,0.0022290907837437235
오,VV,193,0.002217600625064632
가지,VX,192,0.0022061104663855407
키우,VV,191,0.0021946203077064493
많,VA,191,0.0021946203077064493
들,VV,188,0.0021601498316691755
으면,EC,187,0.002148659672990084
주,VX,184,0.00211418919695281
그것,NP,183,0.0021026990382737184
지만,EC,176,0.002022267927520079
로,JKB,176,0.002022267927520079
ᆯ,JKO,173,0.001987797451482805
더,MAG,172,0.0019763072928037136
면서,EC,171,0.001964817134124622
그거,NP,165,0.0018958761820500741
ᆫ데,EC,159,0.001826935229975526
친구,NNG,158,0.0018154450712964346
다,EF,152,0.0017465041192218866
한,MM,151,0.0017350139605427951
name,SL,150,0.0017235238018637037
자기,NP,149,0.0017120336431846123
살,VV,148,0.001700543484505521
1.0,SN,148,0.001700543484505521
거든,EF,147,0.0016890533258264297
만,JX,146,0.0016775631671473383
이,MM,145,0.0016660730084682468
그리고,MAJ,141,0.0016201123737518816
인제,IC,141,0.0016201123737518816
이렇게,MAG,141,0.0016201123737518816
한테,JKB,140,0.0016086222150727902
얘기,NNG,139,0.0015971320563936988
뭐,NP,137,0.0015741517390355161
다고,EC,136,0.0015626615803564247
요즘,NNG,136,0.0015626615803564247
쓰,VV,134,0.001539681262998242
어떻,VA-I,133,0.0015281911043191507
던,ETM,133,0.0015281911043191507
이것,NP,130,0.0014937206282818766
적,XSN,130,0.0014937206282818766
경우,NNG,126,0.0014477599935655112
다니,VV,125,0.0014362698348864198
거기,NP,123,0.0014132895175282371
시,EP,122,0.0014017993588491457
만나,VV,119,0.0013673288828118717
으니까,EC,119,0.0013673288828118717
데,NNB,119,0.0013673288828118717
싶,VX,118,0.0013558387241327803
너,NP,114,0.0013098780894164148
어요,EF,113,0.0012983879307373234
모르,VV,113,0.0012983879307373234
보다,JKB,113,0.0012983879307373234
먹,VV,113,0.0012983879307373234
음,IC,113,0.0012983879307373234
이,JKC,111,0.0012754076133791408
결혼,NNG,110,0.0012639174547000493
못,MAG,107,0.0012294469786627753
사,VV,106,0.0012179568199836839
어도,EC,104,0.0011949765026255013
대하,VV,102,0.0011719961852673186
부분,NNG,101,0.0011605060265882272
되게,MAG,101,0.0011605060265882272
어떤,MM,100,0.0011490158679091358
그때,NNG,99,0.0011375257092300444
때문,NNB,97,0.0011145453918718618
라,EC,95,0.001091565074513679
지,VX,93,0.0010685847571554963
정도,NNG,92,0.001057094598476405
알,VV,90,0.0010341142811182223
라고,EC,90,0.0010341142811182223
번,NNB,90,0.0010341142811182223
말,NNG,90,0.0010341142811182223
었었,EP,90,0.0010341142811182223
라는,ETM,87,0.0009996438050809482
힘들,VA,86,0.0009881536464018568
동물,NNG,86,0.0009881536464018568
저,NP,86,0.0009881536464018568
