형태소,POS,절대빈도,상대빈도
.,SF,2553,0.03352901776919743
고,ECE,1819,0.023889260995757982
는,JX,1634,0.02145962202697556
ㄴ,ETD,1622,0.021302023823595077
이,JKS,1414,0.018570321631666734
어,ECS,1367,0.017953062001759848
하,VV,1293,0.01698120641424688
는,ETD,1223,0.01606188356119407
었,EPT,1201,0.015772953521663188
에,JKM,1086,0.014262637405933573
을,JKO,1003,0.013172583165885243
하,XSV,1001,0.013146316798655163
거,NNB,992,0.0130281181461198
도,JX,927,0.012174461211142193
가,JKS,910,0.01195119708968651
나,NP,845,0.011097540154708903
있,VV,831,0.010913675584098342
이,VCP,824,0.01082174329879306
같,VA,812,0.010664145095412579
?,SF,782,0.010270149586961375
것,NNB,691,0.009075029877992724
아,ECD,686,0.009009363959917523
를,JKO,677,0.008891165307382163
ㄹ,ETD,607,0.007971842454329353
게,ECD,584,0.007669779231183432
어,ECD,532,0.006986853683201345
면,ECE,523,0.006868655030665984
생각,NNG,516,0.006776722745360703
는데,ECD,478,0.006277661767989179
들,XSN,461,0.0060543976465334964
은,JX,460,0.006041264462918456
은,ETD,452,0.005936198993998135
좀,MAG,433,0.005686668505312372
아,ECS,425,0.005581603036392052
그러,VV,418,0.005489670751086771
더,EPT,411,0.00539773846578149
되,VV,390,0.005121941609865647
가,VV,386,0.005069408875405487
어서,ECD,384,0.005043142508175407
보,VV,376,0.004938077039255086
때,NNG,373,0.004898677488409966
았,EPT,358,0.004701679734184364
그,MDT,350,0.004596614265264042
지,ECD,326,0.004281417858503079
좋,VA,321,0.004215751940427879
에서,JKM,314,0.0041238196551225985
안,MAG,306,0.004018754186202277
어,EFN,285,0.003742957330286435
기,ETN,266,0.0034934268416006724
느,VV,262,0.003440894107140512
친구,NNG,256,0.003362095005450271
사람,NNG,254,0.003335828638220191
근데,MAG,250,0.0032832959037600307
티,NNG,248,0.00325702953652995
뭐,NP,243,0.0031913636184547497
아이,NNG,243,0.0031913636184547497
많이,MAG,240,0.0031519640676096294
싶,VXA,240,0.0031519640676096294
을,ETD,238,0.003125697700379549
거든,EFN,236,0.0030994313331494687
니까,ECD,228,0.0029943658642291476
으로,JKM,226,0.0029680994969990674
가지,VXV,223,0.002928699946153947
그냥,MAG,222,0.002915566762538907
없,VA,221,0.002902433578923867
되게,MAG,218,0.0028630340280787468
그렇,VA,217,0.0028499008444637063
않,VXV,217,0.0028499008444637063
잖아,EFN,212,0.002784234926388506
집,NNG,212,0.002784234926388506
의,JKG,199,0.0026135035393929844
있,VXV,198,0.0026003703557779443
수,NNB,198,0.0026003703557779443
어,VV,197,0.002587237172162904
잘,MAG,196,0.0025741039885478637
우리,NP,193,0.0025347044377027434
내가,NNG,191,0.0025084380704726633
그래서,MAG,190,0.002495304886857623
보,VXV,187,0.002455905336012503
로,JKM,184,0.0024165057851673823
다,MAG,183,0.002403372601552342
비,NNG,182,0.002390239417937302
엠,NNG,179,0.002350839867092182
1,NR,175,0.002298307132632021
키우,VV,173,0.002272040765401941
더,MAG,173,0.002272040765401941
막,MAG,173,0.002272040765401941
주,VXV,170,0.0022326412145568207
그리하,VV,169,0.0022195080309417806
많,VA,169,0.0022195080309417806
다,ECS,168,0.0022063748473267406
너무,MAG,166,0.0021801084800966604
맞,VV,164,0.00215384211286658
다고,EFN,164,0.00215384211286658
아서,ECD,163,0.0021407089292515397
하,XSA,162,0.0021275757456364996
내,NP,162,0.0021275757456364996
