형태소,POS,절대빈도,상대빈도
.,SF,3110,0.03795691706840788
고,EC,1926,0.02350643803014585
이,JKS,1637,0.019979251845975467
하,VV,1590,0.019405626411179593
는,JX,1511,0.018441447488863123
었,EP,1509,0.018417037895893086
가,JKS,1314,0.016037102581314456
거,NNB,1313,0.016024897784829437
이,VCP,1299,0.015854030634039177
어,EC,1227,0.014975285287117838
도,JX,1219,0.014877646915237689
에,JKB,1217,0.014853237322267652
는,ETM,1196,0.01459693659608226
어,EF,1054,0.012863855495209617
나,NP,1016,0.01240007322877891
을,JKO,901,0.01099652163300177
하,XSV,801,0.009776041984499908
를,JKO,800,0.00976383718801489
ᆫ,ETM,797,0.009727222798559833
같,VA,710,0.008665405504363215
게,EC,708,0.008640995911393178
어서,EC,704,0.008592176725453104
은,JX,678,0.008274852016842619
뭐,IC,672,0.008201623237932507
가,VV,668,0.008152804051992433
들,XSN,633,0.007725636175016782
ᆯ,ETM,625,0.007627997803136633
되,VV,598,0.00729846829804113
있,VA,571,0.006968938792945628
것,NNB,568,0.006932324403490572
그,MM,512,0.006248855800329529
좀,MAG,511,0.006236651003844511
면,EC,508,0.006200036614389455
는데,EC,465,0.005675230365533654
기,ETN,457,0.005577591993653506
ᆫ,JX,453,0.005528772807713431
때,NNG,446,0.005443339232318301
하,VX,445,0.0054311344358332824
?,SF,444,0.005418929639348264
근데,MAJ,437,0.005333496063953134
은,ETM,437,0.005333496063953134
그런,MM,424,0.005174833709647892
그렇,VA-I,422,0.005150424116677855
그래서,MAJ,404,0.004930737779947519
어,IC,404,0.004930737779947519
생각,NNG,396,0.00483309940806737
안,MAG,389,0.00474766583267224
하,XSA,363,0.0044303411240617565
보,VX,357,0.004357112345151645
좋,VA,349,0.004259473973271496
우리,NP,348,0.0042472691767864775
니까,EC,346,0.0042228595838164395
지,EC,340,0.004149630804906328
지,EF,290,0.0035393909806553975
않,VX,290,0.0035393909806553975
너무,MAG,276,0.003368523829865137
보,VV,274,0.0033441142368951
있,VV,273,0.0033319094404100813
어야,EC,270,0.0032952950509550255
많이,MAG,269,0.003283090254470007
사람,NNG,269,0.003283090254470007
그냥,MAG,264,0.0032220662720449135
을,ETM,261,0.0031854518825898577
거든,EF,257,0.0031366326966497833
더라고,EF,251,0.0030634039177396717
있,VX,248,0.003026789528284616
또,MAG,240,0.002929151156404467
수,NNB,235,0.0028681271739793737
에서,JKB,229,0.002794898395069262
이제,MAG,225,0.0027460792091291877
없,VA,220,0.0026850552267040947
시,EP,220,0.0026850552267040947
야,EF,211,0.0025752120583389273
으로,JKB,207,0.002526392872398853
던,ETM,207,0.002526392872398853
너,NP,202,0.0024653688899737595
잖아,EF,200,0.0024409592970037223
어요,EF,199,0.0024287545005187037
의,JKG,197,0.0024043449075486665
다,MAG,197,0.0024043449075486665
가지,VX,196,0.002392140111063648
그,IC,193,0.002355525721608592
주,VX,193,0.002355525721608592
아니,VCN,191,0.002331116128638555
겠,EP,189,0.0023067065356685177
싶,VX,189,0.0023067065356685177
이런,MM,181,0.002209068163788369
그것,NP,180,0.0021968633673033503
저,NP,180,0.0021968633673033503
잘,MAG,177,0.0021602489778482946
그러니까,MAJ,174,0.0021236345883932388
애,NNG,173,0.0021114297919082197
이렇,VA-I,170,0.002074815402453164
키우,VV,168,0.0020504058094831267
아,IC,166,0.0020259962165130895
집,NNG,165,0.002013791420028071
로,JKB,164,0.0020015866235430523
자기,NP,162,0.001977177030573015
다,EC,161,0.0019649722340879965
인제,MAG,159,0.0019405626411179593
그거,NP,158,0.0019283578446329407
오,VV,156,0.0019039482516629035
더,MAG,156,0.0019039482516629035
얘기,NNG,150,0.0018307194727527917
다,EF,145,0.0017696954903276987
1,SN,145,0.0017696954903276987
뭐,NP,143,0.0017452858973576616
으면,EC,141,0.0017208763043876244
님,XSN,140,0.0017086715079026058
그리고,MAJ,139,0.0016964667114175872
ᆯ,JKO,139,0.0016964667114175872
었었,EP,136,0.0016598523219625314
많,VA,136,0.0016598523219625314
엄마,NNG,135,0.0016476475254775128
만,JX,135,0.0016476475254775128
ᆫ데,EC,132,0.0016110331360224567
지금,MAG,132,0.0016110331360224567
번,NNB,131,0.0015988283395374382
아이,NNG,129,0.001574418746567401
친구,NNG,129,0.001574418746567401
음,IC,128,0.0015622139500823824
면서,EC,125,0.0015255995606273266
되게,MAG,125,0.0015255995606273266
힘들,VA,124,0.001513394764142308
들,VV,124,0.001513394764142308
한테,JKB,123,0.0015011899676572894
맞,VV,122,0.0014889851711722708
말,NNG,120,0.0014645755782022336
한,MM,119,0.001452370781717215
데,NNB,118,0.0014401659852321962
지만,EC,117,0.0014279611887471776
라고,EC,116,0.001415756392262159
다니,VV,116,0.001415756392262159
살,VV,114,0.0013913467992921218
어떻,VA-I,114,0.0013913467992921218
다고,EC,112,0.0013669372063220846
어도,EC,112,0.0013669372063220846
2,SN,111,0.001354732409837066
못,MAG,109,0.0013303228168670288
그러,VV,108,0.0013181180203820102
적,XSN,108,0.0013181180203820102
막,MAG,108,0.0013181180203820102
으니까,EC,107,0.0013059132238969916
거기,NP,105,0.0012815036309269544
그때,NNG,101,0.0012326844449868798
일,NNG,101,0.0012326844449868798
크,VA,101,0.0012326844449868798
name,SL,99,0.0012082748520168426
쪼끔,MAG,97,0.0011838652590468054
이,JKC,96,0.0011716604625617868
학교,NNG,96,0.0011716604625617868
까지,JX,93,0.001135046073106731
요즘,NNG,92,0.0011228412766217124
거든요,EF,92,0.0011228412766217124
요,JX,92,0.0011228412766217124
결혼,NNG,92,0.0011228412766217124
같이,MAG,91,0.0011106364801366938
때문,NNB,90,0.0010984316836516752
랑,JKB,89,0.0010862268871666566
좋아하,VV,88,0.001074022090681638
나오,VV,88,0.001074022090681638
만나,VV,87,0.0010618172941966194
이렇게,MAG,86,0.0010496124977116006
사,VV,85,0.001037407701226582
부분,NNG,85,0.001037407701226582
진짜,MAG,84,0.0010252029047415634
시간,NNG,84,0.0010252029047415634
지,VX,84,0.0010252029047415634
보다,JKB,84,0.0010252029047415634
3,SN,82,0.0010007933117715262
모르,VV,82,0.0010007933117715262
성격,NNG,82,0.0010007933117715262
경우,NNG,80,0.000976383718801489
이,MM,80,0.000976383718801489
년,NNB,79,0.0009641789223164704
적,NNB,78,0.0009519741258314518
나,VV,78,0.0009519741258314518
강아지,NNG,78,0.0009519741258314518
은데,EC,77,0.0009397693293464332
인제,IC,77,0.0009397693293464332
여행,NNG,75,0.0009153597363763959
