,10대,20대,30대,40대,50대,60대 이상,표준편차
면,0.0,0.0,0.0,0.02774591730842755,0.03201164059658058,0.030535714285714284,0.016542057957974112
어요,0.0,0.0,0.0,0.0,0.0,0.03630952380952381,0.014823301022795027
은,0.029521166676507057,0.02721945687102262,0.0,0.0,0.0,0.0,0.014668435868911346
는데,0.0,0.0,0.031089469178082193,0.0,0.0,0.0,0.012692222643381016
어,0.07338962035779655,0.06389011404448365,0.052065496575342464,0.057567316620241414,0.042041261757522215,0.06797619047619048,0.011382919577703696
고,0.10190706736730236,0.09734736311511562,0.10846532534246575,0.10519416680321153,0.11235254378215455,0.12380952380952381,0.009245371269678285
었,0.08348585936116196,0.08732909079453091,0.08438570205479452,0.08241848271341963,0.07036324897365276,0.07077380952380953,0.007330510856523732
게,0.028812658676270888,0.03131497700207926,0.0332298801369863,0.03866950679993446,0.040638154133970796,0.04708333333333333,0.006788490406272125
는,0.07108696935702899,0.07497952239934472,0.07320205479452055,0.06532306515921131,0.06942784389128515,0.0625,0.004746837919747185
ᆫ,0.05012694101670898,0.048390145548484656,0.04575128424657534,0.043530504123655035,0.04235306345164475,0.043095238095238096,0.0031425941194745547
어서,0.03518923067839641,0.042215361350891566,0.04259417808219178,0.03845103501010432,0.04089798887907291,0.041845238095238095,0.00286895265096877
ᆯ,0.03241424101080475,0.032260097032323104,0.03007277397260274,0.03413621716095909,0.03601309567115315,0.032202380952380955,0.0020164223177875306
