,10대,20대,30대,40대,50대,60대 이상,표준편차
었,0.08348585936116196,6.300800201625606e-05,0.08438570205479452,0.08241848271341963,0.07036324897365276,0.07077380952380953,0.03255604446064687
게,5.904233335301411e-05,6.300800201625606e-05,0.00010702054794520547,0.03866950679993446,0.040638154133970796,0.04708333333333333,0.02320147710078994
어서,0.03518923067839641,0.042215361350891566,0.04259417808219178,0.00021847178983013817,0.04089798887907291,5.9523809523809524e-05,0.02087021423334252
어,0.07338962035779655,0.06389011404448365,0.052065496575342464,0.057567316620241414,0.042041261757522215,0.02625,0.016675840069858363
은,0.029521166676507057,0.02721945687102262,0.029002568493150686,5.461794745753454e-05,5.1966949020423014e-05,0.025416666666666667,0.014395759627404359
기,0.020487689673495898,6.300800201625606e-05,0.020387414383561644,5.461794745753454e-05,0.021514316894455127,0.015535714285714286,0.010242179462673097
던,0.0192478006730826,0.023375968748031,0.020761986301369863,0.011305915123709652,0.006911604219716261,0.00011904761904761905,0.009060820183743469
잖아,5.904233335301411e-05,0.010270304328649739,5.351027397260274e-05,0.010923589491506909,5.1966949020423014e-05,0.005892857142857143,0.005210888909043217
겠,0.009446773336482257,0.007749984247999496,0.009364297945205479,0.01032279206947403,0.014862547419840982,5.9523809523809524e-05,0.004840328137173586
는,0.07108696935702899,0.07497952239934472,0.07320205479452055,0.06532306515921131,0.06942784389128515,0.0625,0.004746837919747185
다고,0.011690382003896794,0.00012601600403251212,0.00021404109589041095,0.0003823256322027418,0.00025983474510211506,0.00029761904761904765,0.004668859125206416
면서,5.904233335301411e-05,0.007182912229853192,0.008294092465753425,0.006827243432191818,5.1966949020423014e-05,0.009345238095238096,0.004152483593563297
었었,0.0066127413355375805,0.012916640413332493,0.010595034246575343,0.007428040854224698,0.004677025411838071,0.0027380952380952383,0.003751170049329034
지,0.009801027336600342,0.009136160292357129,0.007384417808219178,0.01583920476268502,0.01590188640024944,0.009226190476190476,0.003695938042839648
지만,0.004664344334888115,0.005166656165332998,0.008133561643835616,0.00010923589491506909,5.1966949020423014e-05,5.9523809523809524e-05,0.0034498113099946555
ᆫ,0.05012694101670898,0.048390145548484656,0.04575128424657534,0.043530504123655035,0.04235306345164475,0.043095238095238096,0.0031425941194745547
시,0.005077640668359214,0.006930880221788167,0.010595034246575343,0.012015948440657601,0.006339967780491607,0.012023809523809523,0.0030774387980395316
면,0.02698234634232745,0.02432108877827484,0.025470890410958905,0.02774591730842755,0.03201164059658058,0.030535714285714284,0.002946495261114115
어야,0.009801027336600342,0.008695104278243337,0.0097923801369863,0.014746845813534328,0.01345943979628956,0.012916666666666667,0.002450716348592519
거든요,0.0,0.00025203200806502425,0.0029430650684931507,0.005024851166093179,5.1966949020423014e-05,0.0034523809523809524,0.002144111136599044
ᆯ,0.03241424101080475,0.032260097032323104,0.03007277397260274,0.03413621716095909,0.03601309567115315,0.032202380952380955,0.0020164223177875306
습니다,0.0,0.0035284481129103395,0.00390625,0.00021847178983013817,0.00010393389804084603,5.9523809523809524e-05,0.0018755016685489897
잖아요,5.904233335301411e-05,0.00025203200806502425,0.0016588184931506848,0.0013654486864383636,0.0008834381333471912,0.004821428571428571,0.0017371745632484045
ᆫ다고,0.0033063706677687902,0.00012601600403251212,0.003692208904109589,5.461794745753454e-05,0.00020786779608169206,0.00029761904761904765,0.001724685840026494
으면,0.006494656668831552,0.005544704177430534,0.0058326198630136985,0.007701130591512371,0.00966585251779868,0.008333333333333333,0.0015937469062707436
거나,0.0033063706677687902,0.00447356814315418,0.002514982876712329,0.0018570102135561746,5.1966949020423014e-05,0.0015476190476190477,0.0015230873859029622
다,0.006199445002066482,0.006615840211706887,0.009096746575342466,0.00791960238134251,0.0074832406589409135,0.005416666666666667,0.001317706766125095
네,0.002538820334179607,0.0015752000504064016,5.351027397260274e-05,0.00010923589491506909,0.00327391778828665,0.0014285714285714286,0.0012855484975439107
예요,0.0,0.0001890240060487682,0.000802654109589041,0.0009831230542356219,0.0008834381333471912,0.0031547619047619046,0.0011272506072382356
나요,0.0,0.0024573120786339866,0.002086900684931507,0.00010923589491506909,0.00020786779608169206,0.0007738095238095238,0.0010728484517773613
다가,0.00200743933400248,0.003213408102829059,0.0029965753424657533,0.0026762794254191927,0.0043652237177155325,0.004226190476190476,0.0009094295130972713
ᆫ지,0.0023026510007675503,0.00012601600403251212,0.00010702054794520547,0.00010923589491506909,0.00010393389804084603,0.00029761904761904765,0.0008824976479500183
ᆫ가,0.0018893546672964516,0.0026463360846827547,0.0035851883561643836,0.0010377410016931565,0.0019747440627760743,0.0017857142857142857,0.000868853181610363
더니,0.00017712700005904233,0.0003150400100812803,0.0006421232876712328,0.001310830738980829,0.0021306449098373436,0.0017857142857142857,0.0008055940055881652
단,0.002066481667355494,0.0011971520383088651,0.0011772260273972602,0.0004915615271178109,0.00020786779608169206,5.9523809523809524e-05,0.0007578156948605658
을,0.014406329338135444,0.015058912481885199,0.01482234589041096,0.014255284286416517,0.014186977082575483,0.012916666666666667,0.0007462650819274871
지마는,5.904233335301411e-05,0.00012601600403251212,0.0004280821917808219,5.461794745753454e-05,0.0005196694902042301,0.0019047619047619048,0.0007085437797894749
라서,0.00200743933400248,0.0013861760443576335,0.0013377568493150684,0.0016385384237260364,0.0005716364392246531,0.00011904761904761905,0.0007011380089691444
러,0.001535100667178367,0.0023312960746014744,0.002033390410958904,0.0006554153694904145,0.0019747440627760743,0.0008333333333333334,0.0006838047580249311
ᆫ다면,5.904233335301411e-05,0.002016256064520194,0.0013377568493150684,0.00120159484406576,0.0007795042353063451,0.0007142857142857143,0.000663504190050809
어도,0.006140402668713468,0.00447356814315418,0.005297517123287672,0.006117210115243869,0.005560463545185262,0.005952380952380952,0.0006395391915634773
다는,0.00401487866800496,0.0027093440866990106,0.0024079623287671234,0.0028401332677917964,0.003585719482409188,0.0035714285714285713,0.0006241005919792447
에요,0.0,0.00012601600403251212,0.0006421232876712328,0.00060079742203288,0.0004157355921633841,0.0016666666666666668,0.0005923653661842509
죠,0.0,0.0003780480120975364,0.0013377568493150684,0.00010923589491506909,0.0011952398274697293,0.00011904761904761905,0.0005907035050941528
라도,0.0008856350002952116,0.0003780480120975364,0.0003210616438356164,5.461794745753454e-05,0.0015070415215922674,0.0013095238095238095,0.0005848323659557761
어요,0.00011808466670602822,0.0015752000504064016,0.00021404109589041095,0.00010923589491506909,5.1966949020423014e-05,0.0004761904761904762,0.0005836329807505682
라는,0.003660624667886875,0.0047886081532354605,0.003852739726027397,0.003386312742367142,0.004521124564776802,0.0034523809523809524,0.0005809938492138793
는지,0.0014760583338253527,0.00012601600403251212,0.00010702054794520547,0.00016385384237260363,5.1966949020423014e-05,0.00011904761904761905,0.0005574055897572566
으시,0.00017712700005904233,0.0015752000504064016,0.0017123287671232876,0.0010377410016931565,0.0008314711843267682,0.0011904761904761906,0.0005541970882105042
든,0.0009446773336482258,0.000945120030243841,0.001605308219178082,0.0011469768966082255,0.00010393389804084603,0.0004761904761904762,0.0005235563968596869
나,0.0007085080002361693,0.0003150400100812803,0.001016695205479452,0.0005461794745753454,0.0017149093176739593,0.0007142857142857143,0.0004881795053104104
면은,0.0019483970006494657,0.0010711360342763531,0.0021939212328767124,0.0010377410016931565,0.0017668762666943824,0.0018452380952380953,0.0004788296693152351
네요,0.0,0.0,0.00048159246575342463,0.0006554153694904145,0.00025983474510211506,0.00125,0.00047410661885450683
고서,5.904233335301411e-05,0.0,0.000802654109589041,0.0003823256322027418,0.0005716364392246531,0.00125,0.00047261055919977653
ᆫ단,0.0012989313337663105,0.0005040640161300485,0.00048159246575342463,0.0003823256322027418,5.1966949020423014e-05,0.0,0.0004669167226277638
더라,0.0012989313337663105,6.300800201625606e-05,0.000802654109589041,0.0006554153694904145,0.00015590084706126902,0.0005952380952380953,0.0004512456000715656
대,5.904233335301411e-05,0.0003780480120975364,0.0006421232876712328,0.0008738871593205527,0.0013511406745309984,0.0004761904761904762,0.0004456010755997121
ᆸ니다,5.904233335301411e-05,0.00012601600403251212,0.0011772260273972602,0.00016385384237260363,5.1966949020423014e-05,5.9523809523809524e-05,0.00044527462113087173
ᆫ다는,0.0013579736671193246,0.0016382080524226577,0.0010702054794520547,0.00120159484406576,0.0022865457568986124,0.0017261904761904762,0.0004403917527431664
