,10대,20대,30대,40대,50대,60대 이상,표준편차
어,0.02925970740292597,0.027869517353264962,0.06031498366570774,0.06386292834890965,0.06449916327994262,0.06950301606790156,0.01881503927454646
는데,0.0,0.0,0.03008435321078551,0.0,0.028926607697824527,0.027064538514920196,0.015744676894360505
면,0.028764712352876472,0.0,0.0,0.02572605768264496,0.029978484341381784,0.02850584529973843,0.014651297570311465
니까,0.0,0.0,0.0,0.02512310320570797,0.030982548410231892,0.0,0.014604437203367206
더,0.0,0.026305116171272958,0.02750012189770345,0.0,0.0,0.0,0.013897591402082424
아,0.03772962270377296,0.03714004287618054,0.026183626700472962,0.02758516731986735,0.0,0.02813217317034111,0.01374538658268222
었,0.06605433945660544,0.0771771249782722,0.07333365839387586,0.06577228419254347,0.05292852020081281,0.05113969999466183,0.010536750710620222
고,0.1000439995600044,0.09282113679819225,0.10273538446535667,0.10255250728569992,0.1099211092517332,0.11893450061388992,0.008954346458798479
ㄴ,0.0892091079089209,0.09247349209108291,0.0871812375054854,0.07622349512611798,0.07401386564666507,0.07179843057705654,0.008826404272355995
게,0.03211967880321197,0.03505417463352454,0.036471792871422305,0.044568385086925934,0.04604350944298351,0.050125447072011955,0.007151586670434854
는,0.06726432735672644,0.0714409873109682,0.0672387732215125,0.060998894583458946,0.06440353813052833,0.056638018470079536,0.005239006281488504
ㄹ,0.03338466615333847,0.03233095776116809,0.03296113901214101,0.034669882423876995,0.03672005737508965,0.03320343778359046,0.0015897643448495034
