,10대,20대,30대,40대,50대,60대 이상,표준편차
게,5.4999450005499945e-05,0.03505417463352454,4.875908137890682e-05,0.00010049241282283188,0.04604350944298351,0.0001067634655420915,0.021186146994720302
아,0.023374766252337476,5.7940784518222376e-05,0.024672095177726852,5.024620641141594e-05,0.016447525699258905,0.013398814925532482,0.010873004066498432
었,0.06605433945660544,0.0771771249782722,0.07333365839387586,0.06577228419254347,0.05292852020081281,0.05113969999466183,0.010536750710620222
ㄴ,0.0892091079089209,0.09247349209108291,0.0871812375054854,0.07622349512611798,0.07401386564666507,0.07179843057705654,0.008826404272355995
니까,0.012539874601253987,0.010661104351352917,0.015456628797113462,0.02512310320570797,0.030982548410231892,0.026157049057812416,0.008344355129817587
어요,0.00010999890001099989,0.0008691117677733357,0.007216344044078209,0.004873882021907346,0.0033946928042075065,0.020658730582394706,0.007552769969143603
더,0.022604773952260477,0.026305116171272958,0.02750012189770345,0.020450206009446286,0.016112837676308868,0.01542732077083222,0.005044843373367116
어,0.015674843251567483,0.01633930123413871,0.009020430055097763,0.012059089538739826,0.00851063829787234,0.004057011690599477,0.004685841551635476
아요,0.0,0.0005794078451822238,0.0036569311034180116,0.004270927544970354,0.0014821898159215873,0.009768857097101373,0.0035919904833505638
았,0.01968980310196898,0.020395156150414276,0.01808961919157443,0.017334941211938498,0.01324408319387999,0.012544707201195751,0.0032843892925363523
면,0.028764712352876472,0.023292195376325396,0.023696913550148715,0.02572605768264496,0.029978484341381784,0.02850584529973843,0.0028228897206777136
다고,5.4999450005499945e-05,0.008343472970624021,0.004875908137890682,0.005627575118078585,0.005976571838393498,0.004217156888912614,0.002737565684071983
잖아,0.011659883401165989,0.010371400428761805,0.007460139450972744,0.010551703346397347,0.012144393975615586,0.0054983184754177124,0.0025930454932790504
기,0.014629853701462985,0.014774900052146706,0.015017797064703301,0.018892573610692392,0.01563471192923739,0.011210163881919607,0.0024536330073816107
은,0.024859751402485974,0.02074280085752361,0.024477058852211225,0.019395035674806552,0.022902223284723883,0.019697859392515882,0.0023997214398355808
라고요,0.0,0.0002897039225911119,0.0037056901847969184,0.003266003416742036,0.0012909395170929954,0.005925372337586078,0.002294576088354817
다,5.4999450005499945e-05,0.004287618054348456,0.006192403335121166,0.005627575118078585,0.00568969639015061,0.0037901030267442483,0.002260572501355263
겠,0.008579914200857991,0.006721131004113796,0.008094007508898533,0.009144809566877701,0.013291895768587138,0.00966209363155928,0.0022225351879445873
습니다,0.0,0.003244683933020453,0.003559412940660198,0.00020098482564566376,9.562514941429597e-05,0.004750974216623072,0.0021169930894792523
는데,0.026289737102628975,0.025957471464163624,0.03008435321078551,0.02436941010953673,0.028926607697824527,0.027064538514920196,0.002081380386312799
시,0.003904960950390496,0.004924966684048902,0.007850212102003998,0.007737915787358054,0.0036815682524503944,0.007686969519030588,0.0020100707887397927
어서,0.021119788802111978,0.02532012283446318,0.025110926910137013,0.021455130137674607,0.02175472149175233,0.023808252815886402,0.001892661683974125
여,0.003904960950390496,0.0036502694246480097,4.875908137890682e-05,0.004019696512913275,0.0035381305283289505,0.005765227139272941,0.0018708042890565177
야,0.006434935650643493,0.004171736485312011,0.0023404359061875274,0.003266003416742036,0.0018168778388716232,0.0013879250520471894,0.0018623112215046978
ㅂ니다,5.4999450005499945e-05,0.002897039225911119,0.00107269979033595,0.00015073861923424781,0.0002390628735357399,0.004057011690599477,0.0016807477627896695
