,10대,20대,30대,40대,50대,60대 이상,표준편차
는,0.13152436916695473,0.1362020579981291,0.11578535056795926,0.12337715358863395,0.09876158579328607,0.10187849043831444,0.015349427409362178
의,0.029122018665744903,0.02806361085126286,0.029298864081472777,0.0,0.02453462107640782,0.0,0.014434832795295147
ᆫ,0.04052886277220878,0.03171188026192703,0.02890716803760282,0.03698865028170164,0.02749435314276813,0.0,0.014392286102185122
에서,0.0,0.0,0.0,0.01869845676492202,0.0,0.02521577255034693,0.011524387601732394
을,0.07604562737642585,0.09747427502338635,0.0754406580493537,0.07356903731526088,0.08022431653555573,0.09214757150110002,0.009937172588655159
으로,0.0,0.0,0.0,0.0,0.0,0.02132340497546116,0.00870524362810065
이,0.1305737988247494,0.12853133769878392,0.13482177830003916,0.1336653874418225,0.15071267232650518,0.14435606701641562,0.008613418233821122
도,0.09402004839267197,0.08316183348924228,0.0926752839796318,0.09953457989711766,0.10717345587662591,0.09798612286342867,0.008009079133850214
가,0.09946422398893882,0.08793264733395698,0.09674892283587935,0.1072915816118233,0.10031933951242308,0.10399390759857843,0.006673656610046363
은,0.04821984099550639,0.0509822263797942,0.060947904426165295,0.05536049644810974,0.057481112236155464,0.0599086139786766,0.005029296972861382
에,0.09514344970618735,0.10065481758652947,0.09972581276929103,0.0993712745978607,0.10670612976088481,0.10670164156371637,0.004536059970123089
를,0.0597131005876253,0.05921421889616464,0.05334900117508813,0.06532211970278436,0.05755899992211232,0.06236249788458284,0.004093293699923196
