,10대,20대,30대,40대,50대,60대 이상,표준편차
를,0.0597131005876253,9.354536950420954e-05,7.833920877399138e-05,0.00016330529925696088,0.00015577537191370044,0.0005923168048739212,0.024290070754456626
는,0.13152436916695473,0.1362020579981291,0.11578535056795926,0.12337715358863395,0.09876158579328607,0.10187849043831444,0.015349427409362178
을,0.07604562737642585,0.09747427502338635,0.0754406580493537,0.07356903731526088,0.08022431653555573,0.09214757150110002,0.009937172588655159
도,0.09402004839267197,0.08316183348924228,0.0926752839796318,0.09953457989711766,0.10717345587662591,0.09798612286342867,0.008009079133850214
ᆫ,0.04052886277220878,0.03171188026192703,0.02890716803760282,0.03698865028170164,0.02749435314276813,0.0212387882890506,0.006913676694630891
의,0.029122018665744903,0.02806361085126286,0.029298864081472777,0.016085571976810646,0.02453462107640782,0.01971568793366052,0.005491439470565174
은,0.04821984099550639,0.0509822263797942,0.060947904426165295,0.05536049644810974,0.057481112236155464,0.0599086139786766,0.005029296972861382
요,0.0,0.0048643592142188965,0.01190755973364669,0.007512043765820201,0.0032712828101877094,0.012438652902352344,0.004913630625307553
에서,0.027220877981334254,0.025631431244153416,0.026870348609479046,0.01869845676492202,0.024223070332580417,0.02521577255034693,0.003112090486933603
으로,0.01702385067404079,0.021047708138447148,0.019663141402271836,0.016902098473095453,0.019160370745385156,0.02132340497546116,0.0019054590209788027
랑,0.0038022813688212928,0.004303086997193639,0.0037602820211515863,0.005062464276965787,0.0016356414050938547,8.461668641056016e-05,0.0018689220671142999
한테,0.007950224680262703,0.010570626753975678,0.006110458284371328,0.010043275904303095,0.010904276033959031,0.00964630225080386,0.0018330616614770196
로,0.017715174559281024,0.014873713751169318,0.014257735996866432,0.013391034539070793,0.01363034504244879,0.013284819766457946,0.0016729958690200643
ᆯ,0.01253024541997926,0.01234798877455566,0.015589502546024285,0.011349718298358782,0.013474569670535088,0.012354036215941784,0.001462624210470927
라고,0.0015554787417905289,0.003648269410664172,0.004073638856247552,0.004082632481424022,0.001401978347223304,0.0012692502961584025,0.0013953392991782184
가,0.0034566194262011752,9.354536950420954e-05,0.0003133568350959655,0.0004082632481424022,0.001090427603395903,0.00016923337282112033,0.0012915130711115875
보다,0.0067404078810922915,0.00804490177736202,0.009009009009009009,0.0068588225687923575,0.008801308513124075,0.006092401421560332,0.0011989171274224238
까지,0.004925682682336675,0.007109448082319925,0.007207207207207207,0.007593696415448681,0.005841576446763767,0.008123201895413776,0.0011894565217592506
처럼,0.0033702039405461457,0.0025257249766136576,0.004308656482569526,0.004572548379194905,0.004517485785497313,0.002538500592316805,0.000960668628906951
이랑,0.002506049083995852,0.0021515434985968193,0.002036819428123776,0.0016330529925696088,0.0007788768595685022,8.461668641056016e-05,0.0009230138533462914
이,0.002506049083995852,0.0012160898035547241,0.0009400705052878966,0.0005715685473993631,0.0003115507438274009,0.00033846674564224065,0.000825997789557813
과,0.0008641548565502938,0.002806361085126286,0.001645123384253819,0.0006532211970278435,0.0013240906612664537,0.001523100355390083,0.0007582627097333682
마다,0.0028517110266159697,0.0014967259120673526,0.0010967489228358794,0.0017963582918265697,0.001012539917439053,0.001015400236926722,0.0007124498182944886
하고,0.0004320774282751469,0.0007483629560336763,0.0007833920877399138,0.0006532211970278435,0.0018693044629644053,0.002030800473853444,0.0006821577731727016
께서,0.0010369858278603526,0.0017773620205799813,0.0004700352526439483,0.00016330529925696088,0.00023366305787055067,8.461668641056016e-05,0.0006602973344472883
부터,0.0026788800553059107,0.002899906454630496,0.0038386212299255777,0.004082632481424022,0.002881844380403458,0.002538500592316805,0.0006440920788206791
에게,0.0019875561700656756,0.0013096351730589337,0.0009400705052878966,0.000734873846656324,0.00023366305787055067,0.0013538669825689626,0.0006008850825120744
만,0.01114759764949879,0.011693171188026192,0.01026243634939287,0.01102310769984486,0.011371602149700132,0.011761719411067862,0.0005478436994547342
ᆯ로,0.0024196335983408227,0.001403180542563143,0.0021934978456717587,0.0017147056421980894,0.0019471921489212555,0.0009307835505161618,0.0005430744577545777
밖에,0.002333218112685793,0.001403180542563143,0.001645123384253819,0.0024495794888544135,0.0017135290910507048,0.001523100355390083,0.00043816241313252865
대로,0.0010369858278603526,9.354536950420954e-05,7.833920877399138e-05,8.165264962848044e-05,0.0003115507438274009,0.0005923168048739212,0.00038528930411156696
이나,0.001123401313515382,0.0006548175865294668,0.0010967489228358794,0.001469747693312648,0.0012462029753096036,0.000507700118463361,0.0003648989373044162
나,0.0015554787417905289,0.0019644527595884,0.0017234625930278105,0.0024495794888544135,0.0015577537191370043,0.0022000338466745643,0.00036408117311366103
거나,0.00017283097131005876,0.00018709073900841907,0.0004700352526439483,0.0002449579488854413,0.001012539917439053,0.0,0.00035911098518578364
다가,0.00017283097131005876,9.354536950420954e-05,0.0007050528789659225,0.0002449579488854413,0.0008567645455253524,0.0005923168048739212,0.0003151156991046072
