,10대,20대,30대,40대,50대,60대 이상,표준편차
는,0.1547641598787649,0.15283666464768828,0.13127479730895292,0.14020929407591345,0.11000422119037569,0.11202742772424018,0.019437890659785642
도,0.08780071983330176,0.07510599636583888,0.08978782128687252,0.0947144377438808,0.10612072604474462,0.09673832468495182,0.01036001823169249
을,0.09499905285091874,0.11599030890369473,0.09548042090736587,0.0899255054984037,0.09691853102574927,0.10832097850259452,0.009807244188797226
이,0.13392688009092632,0.12588330304865739,0.13575987579782647,0.12832564739269245,0.14529337273111018,0.1443661971830986,0.008012024096178
가,0.0861905663951506,0.07843731072077528,0.08418147317578058,0.095512593118127,0.09008020261713803,0.09534840622683469,0.006686626306659432
에,0.10286039022542148,0.1082172420755098,0.10936691392099361,0.10828307910606598,0.1149852258336851,0.1178650852483321,0.005362796489035975
은,0.043568857738208,0.04815263476680799,0.05554597205451096,0.05285562256119191,0.05242718446601942,0.057542624166048925,0.005088995610803073
를,0.06412199280166699,0.06238643246517262,0.05727100224253925,0.06890741397658744,0.06019417475728155,0.06680874722016308,0.004272180132327925
에서,0.02974048115173328,0.027559055118110236,0.029411764705882353,0.020485987938985456,0.026171380329252848,0.027520385470719052,0.003371155688723479
으로,0.02140556923659784,0.024530587522713507,0.023891668104191823,0.020042568286626462,0.022878851836217812,0.024277242401779097,0.0017840657237994807
