,10대,20대,30대,40대,50대,60대 이상,표준편차
에,9.471490812653911e-05,0.0002018978396931153,8.625150940141452e-05,0.000177367860943597,0.1149852258336851,0.0010192735359525575,0.04681489849700957
도,0.08780071983330176,0.07510599636583888,0.08978782128687252,0.0947144377438808,0.10612072604474462,0.09673832468495182,0.01036001823169249
랑,0.013354802045842015,0.009993943064809207,0.008538899430740038,0.010908123448031217,0.003967918953144787,0.0012045959970348407,0.004557023896168039
의,0.018848266717181286,0.020896426408237433,0.023201656028980507,0.010553387726144023,0.018151118615449557,0.01630837657524092,0.004347464820005122
이랑,0.008997916272021216,0.009186351706036745,0.006900120752113162,0.006119191202554097,0.002532714225411566,0.00037064492216456633,0.0035518781615880473
에서,0.02974048115173328,0.027559055118110236,0.029411764705882353,0.020485987938985456,0.026171380329252848,0.027520385470719052,0.003371155688723479
는,0.008334911915135442,0.00807591358772461,0.008711402449542867,0.012238382405108194,0.008864499788940482,0.0023165307635285397,0.003212108166151388
서,0.00426217086569426,0.005451241671714113,8.625150940141452e-05,0.005764455480666903,0.00016884761502743774,0.0064862861378799114,0.0028613424781565107
한테,0.0074824777419965904,0.00938824954572986,0.005951354148697602,0.01010996807378503,0.010806247361756015,0.009822090437361009,0.0018377178508972105
으로,0.02140556923659784,0.024530587522713507,0.023891668104191823,0.020042568286626462,0.022878851836217812,0.024277242401779097,0.0017840657237994807
로,0.017427543095283198,0.015647082576216435,0.015352768673451785,0.014012061014544164,0.013845504432249894,0.013806523350630096,0.0014260436307146078
라고,0.0028414472437961733,0.004845548152634767,0.0053475935828877,0.004966300106420717,0.002448290417897847,0.0025018532246108226,0.0013620424510689217
보다,0.0074824777419965904,0.008580658186957399,0.009832672071761256,0.007183398368215679,0.009539890249050232,0.006578947368421052,0.0013252888510711768
나,0.004167455957567721,0.0024227740763173833,0.0028462998102466793,0.0016849946789641718,0.0016040523427606585,0.0009266123054114158,0.0011442059094351187
요,0.0,0.0003028467595396729,0.0012075211316198034,0.0011528910961333806,0.0009286618826509076,0.0032431430689399557,0.0011378067796493018
이나,0.0020837279787838604,0.004037956793862305,0.0023287907538381922,0.0009755232351897836,0.002110595187842972,0.0014825796886582653,0.001041611270378476
처럼,0.0035991665088084867,0.0026246719160104987,0.0046575815076763845,0.004877616175948918,0.004812157028281976,0.0027798369162342477,0.0010327653888476944
가,0.0020837279787838604,0.0015142337976983646,0.002415042263239607,0.0026605179141539555,0.004136766568172225,0.003150481838398814,0.0009084366819507167
까지,0.003978026141314643,0.005249343832020997,0.005520096601690529,0.005764455480666903,0.004558885605740819,0.006300963676797628,0.0008408279096048197
마다,0.003125591968175791,0.0016151827175449223,0.0012075211316198034,0.0019510464703795672,0.0010975094976783454,0.001111934766493699,0.0007813443635959072
께서,0.0010418639893919302,0.0019180294770845953,0.0005175090564084871,0.000177367860943597,0.00016884761502743774,0.0,0.0007287559782472297
대로,0.0011365788975184693,0.0008075913587724611,0.001466275659824047,0.001064207165661582,0.0009286618826509076,0.002687175685693106,0.0006928928959861485
만,0.012028793332070468,0.012921461740359378,0.011730205278592375,0.012238382405108194,0.011650485436893204,0.013343217197924388,0.0006776858735776147
부터,0.0027467323356696344,0.0032303654350898446,0.0038813179230636537,0.004079460801702731,0.0029548332629801602,0.0023165307635285397,0.0006759629337056271
에게,0.0021784428869103998,0.001413284877851807,0.0011212696222183888,0.0007981553742461866,0.0002532714225411566,0.0013899184581171238,0.0006484651240302494
하고,0.0007577192650123129,0.0006056935190793458,0.0006037605658099017,0.0008868393047179851,0.001350780920219502,0.002038547071905115,0.0005613816438809912
밖에,0.0025573025194165562,0.0013123359580052493,0.001811281697429705,0.002571833983682157,0.0017728999577880963,0.0014825796886582653,0.000533866870687248
거나,0.0009471490812653912,0.0012113870381586917,0.0009487666034155598,0.001064207165661582,0.0016040523427606585,0.0,0.0005311702115171278
라서,0.0014207236218980867,0.0006056935190793458,0.0011212696222183888,0.001064207165661582,0.00042211903756859433,0.0,0.0005242660569608317
라든지,0.0006630043568857738,0.0002018978396931153,0.0006037605658099017,0.0013302589570769777,0.0011819333051920641,9.266123054114158e-05,0.0005008825324642115
니,0.0008524341731388521,0.00010094891984655764,0.00025875452820424356,0.001418942887548776,0.0003376952300548755,0.0007412898443291327,0.0004871629004361787
든,0.0011365788975184693,0.0008075913587724611,0.001811281697429705,0.0016849946789641718,0.0020261713803292527,0.001111934766493699,0.00047759228167249207
를,0.00037885963250615644,0.00010094891984655764,0.00025875452820424356,0.0009755232351897836,0.001266357112705783,0.00018532246108228317,0.00047749009080412665
이,0.0009471490812653912,0.0009085402786190188,0.0009487666034155598,0.0006207875133025896,0.00042211903756859433,0.0017605633802816902,0.00045702686632152875
에다,0.00028414472437961733,0.00010094891984655764,0.0004312575470070726,0.00044341965235899253,0.0008442380751371887,0.0012972572275759822,0.00043383068381615
을,0.0007577192650123129,0.00010094891984655764,0.0008625150940141452,0.0002660517914153955,0.0007598142676234699,0.0012972572275759822,0.00043201152344526597
아,0.0014207236218980867,0.0008075913587724611,0.001466275659824047,0.0018623625399077687,0.001350780920219502,0.0007412898443291327,0.000427054203247377
와,0.00028414472437961733,0.0004037956793862306,0.0012075211316198034,8.86839304717985e-05,0.0002532714225411566,0.00027798369162342475,0.0003991597753293286
뿐,9.471490812653911e-05,0.0005047445992327882,0.0004312575470070726,0.000709471443774388,0.0,0.0009266123054114158,0.00035394258552107135
라도,0.0004735745406326956,0.0003028467595396729,0.00017250301880282904,0.000709471443774388,0.0010975094976783454,0.0004633061527057079,0.0003289545139419871
야,0.0013260087137715476,0.0009085402786190188,0.0004312575470070726,0.0006207875133025896,0.0005909666525960321,0.0007412898443291327,0.0003156665666652408
은,0.0022731577950369387,0.0019180294770845953,0.0025875452820424355,0.0019510464703795672,0.0017728999577880963,0.0018532246108228317,0.0003101439892156992
이야,0.0005682894487592347,0.00010094891984655764,0.0005175090564084871,0.0006207875133025896,0.00016884761502743774,0.0008339510748702742,0.00028071019605942167
과,0.0007577192650123129,0.0008075913587724611,0.0007762635846127307,0.0002660517914153955,0.00042211903756859433,0.00018532246108228317,0.0002790925971879723
