particle,10s,20s,30s,40s,50s,60s
이,0.14367714588484634,0.1387106044640291,0.14950725102155277,0.14509281611587446,0.16305813307954636,0.15468763353559525
는,0.1344931119745673,0.1395727560111122,0.11858024196779104,0.12594689086822608,0.1006423982869379,0.10323903939834202
가,0.10499823383963264,0.09196283168885909,0.10239564137488984,0.11296095896112544,0.10865254976604014,0.10879412016067003
에,0.09705051218650654,0.10384136411533672,0.10239564137488984,0.10147340381253642,0.10841462447458165,0.10853773181779335
도,0.09599081596608972,0.0849698246958521,0.09478407178911946,0.10139016065928577,0.10889047505749862,0.09930775147423297
을,0.07762274814553162,0.099626400996264,0.07715727906417755,0.07508532423208192,0.0816876834007455,0.09298350568327493
를,0.06102084069233486,0.060733786761184023,0.054643057447319926,0.06667776575376676,0.05876754699024506,0.06366977181437485
은,0.05024726245143059,0.05211227129035348,0.06377694095024437,0.05710480312994256,0.05963993972559283,0.061276813947525856
ᆫ,0.04115153655951961,0.032474374940128364,0.029084207996154153,0.03737617580953966,0.027837259100642397,0.021194769677805314
에서,0.027817025785941363,0.026151930261519303,0.027481772293886708,0.019145925247648382,0.02466492188119597,0.025467908725749937
의,0.029759802190038855,0.02835520643739822,0.02932457335149427,0.01606592857737451,0.024902847172654452,0.019827365182463037
으로,0.01739667961850936,0.021553788677076347,0.020110568063456454,0.017231332722883543,0.019509873899595527,0.021536620801640885
로,0.018103143765453904,0.015039754765782162,0.014582164890633763,0.013568633979855157,0.013958283765564279,0.013503119391505
ᆯ,0.012804662663369834,0.012644889357218124,0.01586411345244772,0.011737284608340963,0.013720358474105798,0.012563028800957183
만,0.011391734369480749,0.011974327042820193,0.010495953849851775,0.011237825688837093,0.01157903085097946,0.011879326553286045
한테,0.008124337689862239,0.010824791646709455,0.006249499238843041,0.010238907849829351,0.011103180268062495,0.009742757029313733
보다,0.00688802543270929,0.008238337005460294,0.009214005288037817,0.006992424873054191,0.008961852644936156,0.006153320229040253
까지,0.0050335570469798654,0.0072803908420346775,0.007371204230430254,0.007741613252309997,0.005948132286462051,0.008204426972053671
요,0.0,0.004885525433470639,0.012178511337232594,0.007658370099059352,0.0033309540804187486,0.012733954362874968
랑,0.012274814553161427,0.006418239294951624,0.005688646743049435,0.007408640639307417,0.0033309540804187486,0.0011964789334244937
